topology,method,train_seed,seed,warmup,evaluated,admitted,blocked,blocking_rate,mean_utilization,avg_fs,avg_hop_count
nsfnet,deeprmsa_local,44,103,3000,10000,9415,585,0.0585,0.43848377272727274,4.5632501327668615,2.3558151885289433
nsfnet,deeprmsa_local,44,104,3000,10000,9513,487,0.0487,0.43292536363636364,4.600441501103753,2.3525701671397035
nsfnet,deeprmsa_local,44,105,3000,10000,9436,564,0.0564,0.43500811363636366,4.564434082238236,2.3552352691818568
nsfnet,deeprmsa_local,44,106,3000,10000,9404,596,0.0596,0.4386778181818181,4.58188005104211,2.3478307103360274
nsfnet,deeprmsa_local,44,107,3000,10000,9413,587,0.0587,0.43601265909090914,4.580580048868586,2.355040900881759
nsfnet,deeprmsa_local,44,108,3000,10000,9357,643,0.0643,0.43990100000000004,4.560329165330768,2.358234476862242
nsfnet,deeprmsa_local,44,109,3000,10000,9426,574,0.0574,0.43489061363636355,4.571822618289836,2.3390621684701887
nsfnet,deeprmsa_local,44,110,3000,10000,9389,611,0.0611,0.4355312272727273,4.572904462669081,2.354989881776547
nsfnet,ksp_ff_k50_hops,,101,3000,10000,9717,283,0.0283,0.44396970454545465,4.605639600699805,2.248327673150149
nsfnet,ksp_ff_k50_hops,,102,3000,10000,9752,248,0.0248,0.43732299999999996,4.631460213289581,2.255639868744873
nsfnet,ksp_ff_k50_hops,,103,3000,10000,9771,229,0.0229,0.44337111363636367,4.60597687033057,2.2600552655818236
nsfnet,ksp_ff_k50_hops,,104,3000,10000,9809,191,0.0191,0.43085725,4.63635436843715,2.243449892955449
nsfnet,ksp_ff_k50_hops,,105,3000,10000,9751,249,0.0249,0.43531118181818185,4.609783611937237,2.248692441800841
nsfnet,ksp_ff_k50_hops,,106,3000,10000,9784,216,0.0216,0.44076011363636364,4.647281275551921,2.251226492232216
nsfnet,ksp_ff_k50_hops,,107,3000,10000,9746,254,0.0254,0.44431743181818184,4.6462138313154115,2.2627744715780835
nsfnet,ksp_ff_k50_hops,,108,3000,10000,9730,270,0.027,0.44645888636363634,4.625179856115108,2.257656731757451
nsfnet,ksp_ff_k50_hops,,109,3000,10000,9781,219,0.0219,0.4370534318181819,4.6220222881096005,2.239341580615479
nsfnet,ksp_ff_k50_hops,,110,3000,10000,9753,247,0.0247,0.4405255909090909,4.629447349533477,2.2663795755152263
nsfnet,ksp_ff_k5_hops,,101,3000,10000,9650,350,0.035,0.42459179545454545,4.580621761658031,2.1899481865284973
nsfnet,ksp_ff_k5_hops,,102,3000,10000,9648,352,0.0352,0.41735352272727266,4.598155058043118,2.20325456053068
nsfnet,ksp_ff_k5_hops,,103,3000,10000,9683,317,0.0317,0.42443925,4.582670659919446,2.2060311886811936
nsfnet,ksp_ff_k5_hops,,104,3000,10000,9737,263,0.0263,0.4106890681818182,4.615281914347335,2.1856834754031014
nsfnet,ksp_ff_k5_hops,,105,3000,10000,9673,327,0.0327,0.41438068181818183,4.581618939315621,2.1992143078672592
nsfnet,ksp_ff_k5_hops,,106,3000,10000,9682,318,0.0318,0.42208150000000005,4.605040280933691,2.198409419541417
nsfnet,ksp_ff_k5_hops,,107,3000,10000,9671,329,0.0329,0.425371,4.622996587736532,2.208148071554131
nsfnet,ksp_ff_k5_hops,,108,3000,10000,9665,335,0.0335,0.4248090454545455,4.605587170201759,2.199793067770305
nsfnet,ksp_ff_k5_hops,,109,3000,10000,9717,283,0.0283,0.4142960454545454,4.5910260368426465,2.1771122774518883
nsfnet,ksp_ff_k5_hops,,110,3000,10000,9676,324,0.0324,0.41825145454545454,4.601281521289789,2.1994625878462175
nsfnet,ksp_ff_k5_km,,101,3000,10000,9481,519,0.0519,0.4189874090909091,4.462293007066765,2.269486341103259
nsfnet,ksp_ff_k5_km,,102,3000,10000,9508,492,0.0492,0.41301279545454544,4.485485906604964,2.2769246949936894
nsfnet,ksp_ff_k5_km,,103,3000,10000,9502,498,0.0498,0.4128854318181819,4.464533782361608,2.2744685329404337
nsfnet,ksp_ff_k5_km,,104,3000,10000,9548,452,0.0452,0.40763338636363633,4.485546711353163,2.2786971093422705
nsfnet,ksp_ff_k5_km,,105,3000,10000,9527,473,0.0473,0.4111397954545455,4.468143172037368,2.281305762569539
nsfnet,ksp_ff_k5_km,,106,3000,10000,9476,524,0.0524,0.41221663636363637,4.476255804136766,2.279759392148586
nsfnet,ksp_ff_k5_km,,107,3000,10000,9490,510,0.051,0.41435534090909093,4.485247629083245,2.2852476290832455
nsfnet,ksp_ff_k5_km,,108,3000,10000,9463,537,0.0537,0.4177988181818182,4.47764979393427,2.277290499841488
nsfnet,ksp_ff_k5_km,,109,3000,10000,9501,499,0.0499,0.4074019545454546,4.455846752973371,2.259341121987159
nsfnet,ksp_ff_k5_km,,110,3000,10000,9476,524,0.0524,0.4113965,4.47541156606163,2.2779653862389195
