topology,topology_key,load_erlang,seed,method,warmup,evaluated,accepted,blocked,blocking_rate,avg_decision_ms,avg_legal_actions,avg_path_idx,avg_mod_idx,avg_block_idx,avg_start_slot,avg_required_fs,avg_path_hops,avg_path_km,avg_block_waste,request_trace_hash,elapsed_seconds
usnet,xlron_usnet_gcnrmsa,450.0,5001,strict_v13,500,1000,879,121,0.121,3.68111580068944,17.233,5.046643913538111,1.0466439135381116,0.3174061433447099,44.41638225255973,4.409556313993174,3.750853242320819,1162.6484641638226,0.2818812078530535,bef1c067d2451646b114618380945d4955491d9950f522b736d7bd5f8f28bcea,14.463494300027378
usnet,xlron_usnet_gcnrmsa,550.0,5001,ff_ksp_k50_hops,500,1000,943,57,0.057,0.19980440026847646,30.885,5.224814422057264,1.8663838812301166,0.0,33.20784729586426,3.305408271474019,3.6097560975609757,1118.2396606574762,0.1831233105779298,1c11198efebe26f065cc962b0c0c820ca444e9f0e2daa97d29862f1c56622257,9.392949200002477
usnet,xlron_usnet_gcnrmsa,550.0,5001,ksp_ff_k50_hops,500,1000,967,33,0.033,0.029349500429816544,39.494,1.5594622543950363,2.0217166494312306,0.0,33.92967942088935,3.2202688728024818,3.110651499482937,969.1747673216132,0.23216261180785308,1c11198efebe26f065cc962b0c0c820ca444e9f0e2daa97d29862f1c56622257,8.959300599992275
usnet,xlron_usnet_gcnrmsa,550.0,5001,strict_v13,500,1000,832,168,0.168,3.431162201159168,13.334,4.950721153846154,1.2463942307692308,0.33774038461538464,44.83413461538461,4.125,3.5877403846153846,1106.6009615384614,0.2823733554233439,1c11198efebe26f065cc962b0c0c820ca444e9f0e2daa97d29862f1c56622257,13.747087900002953
usnet,xlron_usnet_gcnrmsa,650.0,5001,ff_ksp_k50_hops,500,1000,894,106,0.106,0.15692209906410426,22.61,4.448545861297539,1.907158836689038,0.0,33.50782997762864,3.2293064876957494,3.476510067114094,1071.145413870246,0.16834387958549038,a9192ef8a99512eb5c8317f91d195d3c716a24d309309dce006aacb69bd68e8d,8.494170399964787
usnet,xlron_usnet_gcnrmsa,650.0,5001,ksp_ff_k50_hops,500,1000,903,97,0.097,0.026210499519947916,26.736,1.7851605758582503,2.0697674418604652,0.0,34.756367663344406,3.1461794019933556,3.0675526024363235,944.4739756367663,0.2255295930654026,a9192ef8a99512eb5c8317f91d195d3c716a24d309309dce006aacb69bd68e8d,8.447300600004382
usnet,xlron_usnet_gcnrmsa,650.0,5001,strict_v13,500,1000,794,206,0.206,3.267589397786651,11.509,3.783375314861461,1.4319899244332495,0.3778337531486146,45.29974811083123,3.8790931989924435,3.3337531486146097,1025.8841309823677,0.28878167879450506,a9192ef8a99512eb5c8317f91d195d3c716a24d309309dce006aacb69bd68e8d,13.242114900029264
usnet,xlron_usnet_gcnrmsa,900.0,5001,ff_ksp_k50_hops,500,1000,778,222,0.222,0.14354250131873414,12.306,3.390745501285347,2.038560411311054,0.0,36.41773778920309,3.107969151670951,3.2120822622107967,977.3676092544987,0.1775853217048592,da047efedad34e434d52ee0fe30f1910efb565bc1066fa8b2eefe4864a1d8650,8.219947799982037
usnet,xlron_usnet_gcnrmsa,900.0,5001,ksp_ff_k50_hops,500,1000,793,207,0.207,0.02264860033756122,16.488,2.007566204287516,2.1525851197982346,0.0,36.50063051702396,3.0542244640605296,2.9293820933165193,892.0907944514502,0.21029217974738773,da047efedad34e434d52ee0fe30f1910efb565bc1066fa8b2eefe4864a1d8650,7.662250800000038
usnet,xlron_usnet_gcnrmsa,900.0,5001,strict_v13,500,1000,692,308,0.308,3.091390001180116,8.456,2.8309248554913293,1.7080924855491328,0.3670520231213873,44.31936416184971,3.5679190751445087,3.008670520231214,925.1618497109827,0.3019355493705454,da047efedad34e434d52ee0fe30f1910efb565bc1066fa8b2eefe4864a1d8650,12.63887219998287
