seed,c_mode,r_mode,method_name,display_name,total,admitted,blocked,blocking_rate,server_overload,overload_rate,no_suitable_block,nsb_rate,other_failure,other_rate,avg_delay_ms,delay_p95_ms,avg_fs,avg_decision_ms,decision_p95_ms,avg_path_length_km,avg_hop_count,ppo_r_agreement,fallback_rate,ranker_top1_in_candidates_rate
5014,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,8.060970012190388,13.965240999070927,2.2204262877442273,9.952537090119828,13.084823350072838,682.5357015985791,1.3131438721136768,0.07583333333333334,0.0,0.0
5015,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5707,293,0.04883333333333333,293,0.04883333333333333,0,0.0,0,0.0,8.037333542098082,13.798940696068021,2.2342736989661818,10.11532896111506,13.389746454777196,677.2265638689329,1.2919222008060276,0.06983333333333333,0.0,0.0
5016,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5647,353,0.058833333333333335,353,0.058833333333333335,0,0.0,0,0.0,7.964588752450826,13.823065030572641,2.2165751726580485,10.057979201442018,13.239004288334403,680.1285638392067,1.3063573578891448,0.08066666666666666,0.0,0.0
5017,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5665,335,0.05583333333333333,335,0.05583333333333333,0,0.0,0,0.0,8.008561723740442,14.024858284796505,2.2255957634598413,10.205699133385982,13.470423847320493,681.5198587819947,1.3067961165048543,0.07533333333333334,0.0,0.0
5018,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5709,291,0.0485,291,0.0485,0,0.0,0,0.0,7.78328535592154,13.459968043366306,2.209143457698371,10.196573501161765,13.451940521190409,671.4394815204064,1.2977754422841128,0.06933333333333333,0.0,0.0
5019,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5696,304,0.050666666666666665,304,0.050666666666666665,0,0.0,0,0.0,8.016826974230076,13.702071637779781,2.222787921348315,10.041652022390432,13.280107504397165,677.2917837078652,1.298630617977528,0.07483333333333334,0.0,0.0
5020,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,7.964298471020247,13.873510478616792,2.2149200710479575,10.02700714620975,13.25356695597293,674.4117229129663,1.2985790408525755,0.07933333333333334,0.0,0.0
5001,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5746,254,0.042333333333333334,254,0.042333333333333334,0,0.0,0,0.0,9.345500890383226,16.360092337046467,3.136094674556213,21.26912004069406,27.26743201055797,865.2432996867386,1.8733031674208145,0.07166666666666667,0.042333333333333334,0.9576666666666667
5002,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5670,330,0.055,330,0.055,0,0.0,0,0.0,9.33317001256258,16.299273427980893,3.157671957671958,21.033797993766104,27.246003135223877,856.1276895943563,1.8624338624338623,0.0815,0.055,0.945
5003,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5638,362,0.060333333333333336,362,0.060333333333333336,0,0.0,0,0.0,9.311004384425543,16.12976825076923,3.126285916991841,21.295626709169785,27.608529753342744,846.8414331323164,1.8687477829017383,0.08733333333333333,0.060333333333333336,0.9396666666666667
5004,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5673,327,0.0545,327,0.0545,0,0.0,0,0.0,9.331182314534708,16.471359410487054,3.1209236735413364,21.176682332574273,27.561880495341033,854.6155473294554,1.8732592984311651,0.08016666666666666,0.0545,0.9455
5005,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5618,382,0.06366666666666666,382,0.06366666666666666,0,0.0,0,0.0,9.592086754313772,16.861806954229834,3.154503381986472,21.703826455103506,28.81796365254559,870.8807404770381,1.9040583837664649,0.08833333333333333,0.06366666666666666,0.9363333333333334
5006,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5467,533,0.08883333333333333,533,0.08883333333333333,0,0.0,0,0.0,9.816869681597396,17.458912379220433,3.1900493872324858,21.40509717146051,29.527003331168093,865.4706420340223,1.8825681360892628,0.11766666666666667,0.08883333333333333,0.9111666666666667
5007,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5584,416,0.06933333333333333,416,0.06933333333333333,0,0.0,0,0.0,9.586072823541368,16.573474524235472,3.1586676217765044,21.58190607605017,29.337781987851486,854.3689111747851,1.8656876790830945,0.09216666666666666,0.06933333333333333,0.9306666666666666
5008,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5689,311,0.051833333333333335,311,0.051833333333333335,0,0.0,0,0.0,9.396290904117219,16.24152235131234,3.1497626999472668,22.100769589984946,29.59859587426763,859.296888732642,1.877834417296537,0.07983333333333334,0.051833333333333335,0.9481666666666667
5009,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5698,302,0.050333333333333334,302,0.050333333333333334,0,0.0,0,0.0,9.506208691165051,16.647567497030956,3.1532116532116534,22.24264801769944,29.97639345849166,859.7041067041067,1.8655668655668656,0.0815,0.050333333333333334,0.9496666666666667
5010,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5466,534,0.089,534,0.089,0,0.0,0,0.0,9.721836985468217,17.054167715541872,3.1624588364434687,21.646601421472344,30.50003789976472,865.0245151847786,1.8770581778265643,0.1135,0.089,0.911
5011,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5534,466,0.07766666666666666,466,0.07766666666666666,0,0.0,0,0.0,9.582494297635913,16.807664787623533,3.158836284784966,21.829910766279983,30.406343749200467,866.0430068666426,1.8733285146367908,0.10416666666666667,0.07766666666666666,0.9223333333333333
5012,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5497,503,0.08383333333333333,503,0.08383333333333333,0,0.0,0,0.0,9.918029649374269,17.582780515905867,3.177915226487175,21.566338466203888,30.439132612082176,877.0944151355285,1.9032199381480808,0.11183333333333334,0.08383333333333333,0.9161666666666667
5013,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5598,402,0.067,402,0.067,0,0.0,0,0.0,9.660367481404558,17.197125538620465,3.1906037870668094,20.897369211161276,27.244985643483233,881.5298320828867,1.8904966059306896,0.0915,0.067,0.933
5014,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,9.622856335458593,16.867960327662114,3.180994671403197,20.995087736208614,27.20798593509244,878.2522202486679,1.8964476021314387,0.08733333333333333,0.06166666666666667,0.9383333333333334
5015,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5748,252,0.042,251,0.041833333333333333,1,0.00016666666666666666,0,0.0,9.50714257657361,16.50541433665061,3.1661447459986083,21.60129783708059,28.049763852322943,862.2752261656228,1.86830201809325,0.067,0.042,0.958
