topology,seed,arm,k_paths,blocked,blocking,selector_mean_ms,selector_p50_ms,selector_p95_ms,selector_p99_ms,end_to_end_ms,route_init_s,selector_init_s,env_init_s,ksp_ff_backend,shadow_row_backend,legal_start_backend
xlron_usnet_gcnrmsa,23001,opp_only,50,780,0.078,0.11858380221846429,0.1023294753395021,0.20561899873428036,0.3247932775411756,0.13534037077757108,1.5460555100580677,0.21976279804948717,0.03196155303157866,,,python
xlron_usnet_gcnrmsa,23002,ksp_ff_k5,5,1138,0.1138,0.012128432757559825,0.009797979146242142,0.01877688337117432,0.047001276398077656,0.023570781033909458,0.1024451459525153,0.00843812304083258,0.035292164073325694,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23002,ksp_ff_k50,50,874,0.0874,0.019295368047261778,0.010519986972212791,0.06384099833667278,0.0920902949292214,0.031983906011605126,1.5709708400536329,0.06824223708827049,0.03002994996495545,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23002,ksp_bf_k50,50,864,0.0864,0.035112189848653295,0.005541020072996616,0.253774516750127,0.29791680513881147,0.04756576923484152,1.5807363899657503,1.4828983694314957e-06,0.03171472204849124,,,
xlron_usnet_gcnrmsa,23002,full_direct,50,797,0.0797,0.33089735553684557,0.3125484799966216,0.5690508987754583,0.8575400605332127,0.3504536360798573,1.5513539341045544,0.4855629960075021,0.03167940001003444,,python,python
xlron_usnet_gcnrmsa,23002,opp_only,50,800,0.08,0.12018447420136495,0.10197400115430355,0.20533701754175115,0.4213235306087882,0.13685474141543222,1.572897715959698,0.22529394295997918,0.03052894806023687,,,python
xlron_usnet_gcnrmsa,23003,ksp_ff_k5,5,1053,0.1053,0.013269640420648186,0.010168994776904583,0.023475982015952454,0.05241064587607981,0.025625634197653693,0.10692653409205377,0.0071799029828980565,0.030767978983931243,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23003,ksp_ff_k50,50,833,0.0833,0.01942194579169154,0.011005497071892023,0.0652145012281835,0.09787706541828814,0.032347486788322305,2.166049185092561,0.0774383139796555,0.03214209899306297,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23003,ksp_bf_k50,50,854,0.0854,0.036996664447625255,0.0059015583246946335,0.2603645785711705,0.3749878262169661,0.050136653505350376,1.59755992598366,1.3529788702726364e-06,0.03196734806988388,,,
xlron_usnet_gcnrmsa,23003,full_direct,50,758,0.0758,0.38172612558330665,0.3343449789099395,0.6724098406266421,1.0292513261083516,0.40421286825386976,1.6650368359405547,0.6341529079945758,0.03199348098132759,,python,python
xlron_usnet_gcnrmsa,23003,opp_only,50,733,0.0733,0.12119320621290668,0.10428798850625753,0.20897852955386043,0.3050535218790179,0.13822009857870976,1.5906432380434126,0.20435471402015537,0.03242901305202395,,,python
xlron_usnet_gcnrmsa,23004,ksp_ff_k5,5,1115,0.1115,0.01346289312509312,0.010279996786266565,0.02552956575527785,0.05550720263272535,0.02582620430356738,0.11707975703757256,0.011115153087303042,0.03841803700197488,python_bitparallel_early_exit,,
